"Name","Country code","Number","Direction","Count","Action","Blocked at","Enabled","Description"
"Lora","19","18648404902","outbound","0","hold","2026-05-27 14:24:45","false",""
"Alaina","453","14233344574","inbound","0","hold","2026-05-27 14:24:45","true","Cum nobis corrupti debitis accusamus."
"Veda","56","15026894801","inbound","0","reject","2026-05-27 14:24:45","false","Aliquam minus cum necessitatibus autem."
"Veda","113","12402182928","outbound","0","reject","2026-05-27 14:24:45","true","Dolores iste ut nesciunt voluptas in."
"Shawn","73","17545083383","outbound","0","reject","2026-05-27 14:24:45","false","Ut deserunt sunt non et officiis laudantium. Dolores qui aut ipsam harum incidunt."
"Shawn","751","16194982296","outbound","0","reject","2026-05-27 14:24:45","false","Sapiente cupiditate voluptas fugit laborum eius."
"Shawn","379","18139094396","inbound","0","reject","2026-05-27 14:24:45","true","Sapiente cupiditate voluptas fugit laborum eius."
"Shawn","204","18286526640","inbound","0","reject","2026-05-27 14:24:45","true","Voluptatem culpa qui tempore laudantium. Nisi perferendis tempore assumenda ut."
"Arthur","182","16039160131","inbound","0","reject","2026-05-27 14:24:45","false","Et autem quo a."
"Arthur","278","14406446299","outbound","0","reject","2026-05-27 14:24:45","true","Ea eligendi ex est."
"Verlie","999","18145314481","inbound","0","reject","2026-05-27 14:24:45","true","Corporis iste laudantium quia sed."
"Verlie","379","18628599293","inbound","0","reject","2026-05-27 14:24:45","false","Corporis iste laudantium quia sed."
"Verlie","514","17142875294","outbound","0","reject","2026-05-27 14:24:45","true","Eos culpa cumque et voluptatem rerum atque est sed. Optio aliquid excepturi accusamus repellat."
"Verlie","915","18457303786","outbound","0","reject","2026-05-27 14:24:45","false","Aut itaque quibusdam mollitia quisquam."
"Verlie","931","16783628974","inbound","0","reject","2026-05-27 14:24:45","false","Mollitia quia possimus non beatae. Aut rerum quia vitae itaque laboriosam sed."
"Verlie","483","13207647867","outbound","0","reject","2026-05-27 14:24:45","false","Quia et aut asperiores omnis ipsa omnis. Vel autem qui blanditiis perspiciatis."
"Beryl","293","19363603410","outbound","0","reject","2026-05-27 14:24:45","true","Quia et aut asperiores omnis ipsa omnis. Vel autem qui blanditiis perspiciatis."
"Beryl","570","15867803042","outbound","0","reject","2026-05-27 14:24:45","false","Quia et aut asperiores omnis ipsa omnis. Vel autem qui blanditiis perspiciatis."
"Flavio","31","14695017999","inbound","0","reject","2026-05-27 14:24:45","true","Quia et aut asperiores omnis ipsa omnis. Vel autem qui blanditiis perspiciatis."
"","91","7896544123","inbound","0","reject","2026-05-27 16:24:04","false",""
"Flossie","343","12817964871","outbound","0","reject","2026-06-05 14:20:45","false","Nihil et rerum quo."
"Electa","459","19077689375","outbound","0","reject","2026-06-05 14:20:45","true","Laborum voluptatem id atque a in est delectus."
"Iva","853","13475976689","inbound","0","reject","2026-06-05 14:20:45","false","Laborum voluptatem id atque a in est delectus."
"Leonora","199","12514874496","inbound","0","reject","2026-06-05 14:20:45","false","Voluptate suscipit incidunt quas dolor vero molestiae."
"Leonora","971","16418085823","outbound","0","reject","2026-06-05 14:20:45","true","Voluptate suscipit incidunt quas dolor vero molestiae."
"Leonora","845","15855741695","inbound","0","reject","2026-06-05 14:20:45","true","Voluptate suscipit incidunt quas dolor vero molestiae."
"Leonora","124","13612811946","outbound","0","hold","2026-06-05 14:20:45","false","Voluptate suscipit incidunt quas dolor vero molestiae."
"Leonora","682","19404800097","outbound","0","hold","2026-06-05 14:20:45","false","Voluptate suscipit incidunt quas dolor vero molestiae."
"Soledad","89","18627171704","inbound","0","busy","2026-06-05 14:20:45","true","Soluta similique a vitae aut natus repellat."
"Christop","87","17194005744","outbound","0","reject","2026-06-05 14:20:45","false","Voluptatibus molestiae laborum facilis possimus harum culpa eveniet. Doloribus illo facere inventore deserunt omnis consequuntur tempora amet."
"Nickolas","374","18455514080","outbound","0","hold","2026-06-05 14:20:45","false","Voluptatibus molestiae laborum facilis possimus harum culpa eveniet. Doloribus illo facere inventore deserunt omnis consequuntur tempora amet."
"Amy","94","12174650607","inbound","0","hold","2026-06-05 14:20:45","true","Non aut dolorum vel natus qui."
"Janice","331","16416841104","outbound","0","reject","2026-06-05 14:20:45","true","Voluptatem odit soluta sit dolorum est."
"Janice","4","17812989134","inbound","0","reject","2026-06-05 14:20:45","true","Labore possimus et quae repellendus esse. Voluptatibus reprehenderit unde excepturi."
"Emmet","759","13479685916","outbound","0","reject","2026-06-05 14:20:45","true","Labore possimus et quae repellendus esse. Voluptatibus reprehenderit unde excepturi."
"Shawn","201","19203439425","inbound","0","busy","2026-06-05 14:20:45","false","Ut quia a nesciunt consequatur. Voluptates doloremque odit ad consequatur."
"Jaqueline","850","12202562090","outbound","0","reject","2026-06-05 14:20:45","false","Ut quia a nesciunt consequatur. Voluptates doloremque odit ad consequatur."
"Jaqueline","780","18705324146","outbound","0","reject","2026-06-05 14:20:45","false","Ut quia a nesciunt consequatur. Voluptates doloremque odit ad consequatur."
"Trevor","98","18106420665","inbound","0","reject","2026-06-05 14:20:45","true","Qui aut eum earum quis quia ut."
"Trevor","105","17579715972","inbound","0","reject","2026-06-05 14:20:45","false","Libero voluptas repellat corporis cumque odio commodi dolores. Minus maiores totam velit aperiam possimus."
